MOFID,targets,Vatomic,EE_B_p,GATS4e,GATS1m,MATS4p,SpMin1_Bh_s,ATSC2e,SpMax2_Bh_m,GATS3p,Mp,EM,GATS2e,GATS2p,SpMAD_B_p,ratomic,GATS5e,GATS1p,SM1_Dz_e,ATSC1e,ATSC1p,P,m,Eta_sh_x,ATSC6p
1,-0.812586,10.63,9.553,1.715,0.969,0.008,1.633,1.093,4.724,2.012,0.907,4.85,1.347,1.319,1.849,1.47,1.576,1.716,-1.169,0.956,19.105,1.54,47.87,0.096,67.338
2,-0.848386,10.63,9.548,1.84,0.925,0.012,1.58,1.38,4.724,2.013,0.904,4.85,1.25,1.318,1.853,1.47,1.554,1.751,-1.099,1.324,24.072,1.54,47.87,0.096,67.986
3,-0.840086,10.63,9.556,1.582,0.994,0.028,1.634,1.004,4.724,2.063,0.862,4.85,1.214,1.346,1.789,1.47,1.527,1.716,-0.872,0.99,18.931,1.54,47.87,0.089,74.436
4,-0.778386,10.63,9.572,1.727,0.924,0.015,1.633,1.118,4.724,2.003,0.876,4.85,1.348,1.319,1.817,1.47,1.641,1.691,-1.169,0.971,19.384,1.54,47.87,0.069,82.682
5,-0.836186,10.63,9.567,1.854,0.886,0.019,1.58,1.413,4.724,2.004,0.873,4.85,1.256,1.318,1.82,1.47,1.622,1.725,-1.099,1.343,24.445,1.54,47.87,0.069,83.266
6,-0.796186,10.63,9.57,1.614,0.911,0.026,1.633,0.792,4.724,2.101,0.888,4.85,1.213,1.335,1.82,1.47,1.597,1.693,-0.447,0.801,19.322,1.54,47.87,0.071,61.682
7,-0.885086,10.63,9.564,1.777,0.871,0.031,1.58,1.034,4.724,2.102,0.885,4.85,1.167,1.334,1.822,1.47,1.628,1.728,-0.297,1.178,24.345,1.54,47.87,0.071,62.442
8,-0.812086,10.63,9.564,1.665,0.935,0.019,1.633,1.157,4.723,2.0,0.861,4.85,1.297,1.263,1.746,1.47,1.555,1.69,-1.169,0.986,19.113,1.54,47.87,0.075,91.72
9,-0.826886,10.63,9.568,1.571,0.931,0.02,1.633,1.005,4.724,2.021,0.876,4.85,1.226,1.293,1.808,1.47,1.608,1.673,-0.872,0.952,19.481,1.54,47.87,0.075,74.814
10,-0.853786,10.63,9.569,1.363,0.904,0.012,1.633,0.775,4.723,2.027,0.898,4.85,0.949,1.293,1.808,1.47,1.386,1.683,-0.553,0.793,19.362,1.54,47.87,0.071,70.737
11,-0.963986,10.63,9.562,1.499,0.868,0.017,1.58,1.051,4.723,2.055,0.886,4.85,0.939,1.297,1.802,1.47,1.379,1.727,-0.42,1.18,24.269,1.54,47.87,0.072,73.769
12,-0.663186,10.63,9.574,1.283,0.935,0.029,1.631,1.77,4.725,2.112,0.896,4.85,0.911,1.34,1.802,1.47,1.151,1.702,1.222,1.075,19.41,1.54,47.87,0.065,58.594
13,-1.123986,10.63,9.569,1.413,0.892,0.034,1.578,2.112,4.725,2.113,0.893,4.85,0.913,1.339,1.804,1.47,1.147,1.736,1.285,1.546,24.424,1.54,47.87,0.065,59.359
14,-0.840386,10.63,9.566,1.544,0.909,0.024,1.633,1.261,4.724,2.074,0.882,4.85,1.07,1.293,1.814,1.47,1.652,1.683,-0.447,0.806,19.191,1.54,47.87,0.077,63.603
15,-0.845486,10.63,9.56,1.692,0.869,0.028,1.58,1.493,4.724,2.075,0.879,4.85,1.038,1.292,1.816,1.47,1.663,1.717,-0.297,1.178,24.209,1.54,47.87,0.077,64.304
16,-0.855486,10.63,9.561,1.918,0.969,0.008,1.633,1.056,4.723,2.175,0.918,4.85,1.425,1.402,1.837,1.47,1.795,1.745,-1.169,0.939,19.496,1.54,47.87,0.08,57.632
17,-0.757486,10.63,9.567,1.85,0.886,0.016,1.58,1.413,4.724,1.998,0.873,4.85,1.256,1.318,1.827,1.47,1.547,1.725,-1.099,1.343,24.445,1.54,47.87,0.069,77.913
18,-0.929086,10.63,9.586,1.371,0.826,0.026,1.58,1.8,4.723,2.076,0.869,4.85,0.887,1.334,1.789,1.47,1.307,1.715,1.285,1.451,25.138,1.54,47.87,0.052,79.482
19,-0.898486,10.63,9.555,1.479,0.959,0.014,1.635,1.013,4.724,2.036,0.9,4.85,1.188,1.33,1.84,1.47,1.328,1.723,-1.003,0.905,18.998,1.54,47.87,0.091,60.627
20,-0.846986,10.63,9.547,1.383,0.924,0.064,1.581,1.498,4.723,2.21,0.916,4.85,1.108,1.334,1.847,1.47,1.378,1.753,0.137,1.258,24.396,1.54,47.87,0.095,43.482
21,-0.825286,10.63,9.558,1.413,0.983,0.032,1.635,0.933,4.724,2.083,0.857,4.85,1.111,1.354,1.782,1.47,1.334,1.722,-0.641,0.949,18.897,1.54,47.87,0.085,69.011
22,-0.979886,10.63,9.562,1.495,0.92,0.028,1.635,0.978,4.723,2.062,0.886,4.85,1.096,1.324,1.802,1.47,1.405,1.702,-0.484,0.801,19.132,1.54,47.87,0.076,61.378
23,-0.794386,10.63,9.572,1.479,0.905,0.032,1.635,0.833,4.724,2.118,0.883,4.85,1.132,1.343,1.814,1.47,1.432,1.699,-0.068,0.786,19.321,1.54,47.87,0.068,55.308
24,-0.859986,10.63,9.571,1.278,0.899,0.018,1.635,0.829,4.723,2.045,0.893,4.85,0.913,1.301,1.804,1.47,1.275,1.688,-0.22,0.782,19.354,1.54,47.87,0.068,64.117
25,-0.767686,10.63,9.575,1.266,0.927,0.037,1.633,1.944,4.725,2.163,0.882,4.85,0.919,1.366,1.789,1.47,1.125,1.719,1.358,1.132,19.299,1.54,47.87,0.063,53.362
26,-0.826486,10.63,9.568,1.416,0.904,0.029,1.635,1.268,4.724,2.093,0.877,4.85,1.007,1.302,1.807,1.47,1.479,1.689,-0.068,0.789,19.184,1.54,47.87,0.073,57.345
27,-0.684986,10.63,9.592,1.232,0.857,0.028,1.635,1.624,4.723,2.113,0.862,4.85,0.888,1.353,1.777,1.47,1.222,1.693,1.358,1.046,20.193,1.54,47.87,0.05,73.819
28,-0.875986,10.63,9.563,1.652,0.96,0.015,1.635,0.988,4.723,2.192,0.911,4.85,1.257,1.409,1.831,1.47,1.511,1.75,-1.003,0.892,19.403,1.54,47.87,0.077,50.531
29,-0.887486,10.63,9.592,1.232,0.857,0.028,1.635,1.624,4.723,2.113,0.862,4.85,0.888,1.353,1.777,1.47,1.222,1.693,1.358,1.046,20.193,1.54,47.87,0.05,73.819
30,0.017914,9.83,8.48,1.712,1.009,0.018,1.61,0.913,4.912,1.983,0.881,5.31,1.303,1.286,1.812,1.53,1.516,1.699,-0.756,0.778,15.769,1.63,50.94,0.078,61.505
31,0.226814,9.83,8.48,1.712,1.009,0.018,1.61,0.913,4.912,1.983,0.881,5.31,1.303,1.286,1.812,1.53,1.516,1.699,-0.756,0.778,15.769,1.63,50.94,0.078,61.505
32,0.547614,9.83,8.474,1.872,0.965,0.024,1.558,1.199,4.912,1.985,0.877,5.31,1.192,1.285,1.815,1.53,1.503,1.74,-0.648,1.077,19.949,1.63,50.94,0.078,62.169
33,0.381514,9.83,8.474,1.872,0.965,0.024,1.558,1.199,4.912,1.985,0.877,5.31,1.192,1.285,1.815,1.53,1.503,1.74,-0.648,1.077,19.949,1.63,50.94,0.078,62.169
34,0.412414,9.83,8.473,1.291,1.018,0.071,1.609,0.894,4.912,2.167,0.899,5.31,1.159,1.293,1.816,1.53,1.462,1.703,0.422,0.664,15.912,1.63,50.94,0.081,44.741
35,0.294014,9.83,8.473,1.291,1.018,0.071,1.609,0.894,4.912,2.167,0.899,5.31,1.159,1.293,1.816,1.53,1.462,1.703,0.422,0.664,15.912,1.63,50.94,0.081,44.741
36,0.447014,9.83,8.466,1.477,0.971,0.079,1.557,1.237,4.912,2.168,0.895,5.31,1.115,1.292,1.819,1.53,1.413,1.744,0.555,1.024,20.038,1.63,50.94,0.081,45.182
37,0.212914,9.83,8.466,1.477,0.971,0.079,1.557,1.237,4.912,2.168,0.895,5.31,1.115,1.292,1.819,1.53,1.413,1.744,0.555,1.024,20.038,1.63,50.94,0.081,45.182
38,0.244114,9.83,8.489,1.543,1.031,0.039,1.61,0.834,4.913,2.029,0.838,5.31,1.138,1.309,1.751,1.53,1.438,1.692,-0.264,0.824,15.893,1.63,50.94,0.072,68.522
39,0.211014,9.83,8.489,1.543,1.031,0.039,1.61,0.834,4.913,2.029,0.838,5.31,1.138,1.309,1.751,1.53,1.438,1.692,-0.264,0.824,15.893,1.63,50.94,0.072,68.522
40,0.460314,9.83,8.482,1.704,0.99,0.044,1.558,1.104,4.913,2.031,0.835,5.31,1.083,1.308,1.754,1.53,1.403,1.734,-0.081,1.131,20.094,1.63,50.94,0.073,69.784
41,0.392114,9.83,8.482,1.704,0.99,0.044,1.558,1.104,4.913,2.031,0.835,5.31,1.083,1.308,1.754,1.53,1.403,1.734,-0.081,1.131,20.094,1.63,50.94,0.073,69.784
42,0.253414,9.83,8.5,1.63,0.968,0.035,1.61,0.899,4.912,2.013,0.868,5.31,1.123,1.284,1.776,1.53,1.51,1.681,-0.026,0.697,16.111,1.63,50.94,0.065,60.331
43,0.489014,9.83,8.493,1.805,0.927,0.041,1.558,1.142,4.912,2.014,0.865,5.31,1.072,1.283,1.779,1.53,1.536,1.721,0.175,0.997,20.318,1.63,50.94,0.065,60.904
44,0.356414,9.83,8.493,1.805,0.927,0.041,1.558,1.142,4.912,2.014,0.865,5.31,1.072,1.283,1.779,1.53,1.536,1.721,0.175,0.997,20.318,1.63,50.94,0.065,60.904
45,0.203214,9.83,8.535,1.718,0.962,0.023,1.61,0.945,4.912,1.967,0.857,5.31,1.3,1.282,1.79,1.53,1.574,1.665,-0.756,0.797,16.747,1.63,50.94,0.056,74.367
46,0.467214,9.83,8.535,1.718,0.962,0.023,1.61,0.945,4.912,1.967,0.857,5.31,1.3,1.282,1.79,1.53,1.574,1.665,-0.756,0.797,16.747,1.63,50.94,0.056,74.367
47,0.445414,9.83,8.529,1.881,0.923,0.028,1.558,1.24,4.912,1.968,0.854,5.31,1.195,1.281,1.793,1.53,1.566,1.705,-0.648,1.099,21.004,1.63,50.94,0.056,74.991
48,0.312614,9.83,8.529,1.881,0.923,0.028,1.558,1.24,4.912,1.968,0.854,5.31,1.195,1.281,1.793,1.53,1.566,1.705,-0.648,1.099,21.004,1.63,50.94,0.056,74.991
49,0.241214,9.83,8.528,1.553,0.954,0.041,1.61,0.63,4.912,2.068,0.867,5.31,1.161,1.305,1.793,1.53,1.48,1.678,0.422,0.641,16.384,1.63,50.94,0.058,55.67
50,0.503714,9.83,8.528,1.553,0.954,0.041,1.61,0.63,4.912,2.068,0.867,5.31,1.161,1.305,1.793,1.53,1.48,1.678,0.422,0.641,16.384,1.63,50.94,0.058,55.67
51,0.291314,9.83,8.521,1.758,0.913,0.046,1.558,0.947,4.912,2.07,0.864,5.31,1.115,1.304,1.795,1.53,1.533,1.718,0.555,0.976,20.604,1.63,50.94,0.058,56.401
52,0.365314,9.83,8.511,1.655,0.971,0.028,1.61,0.983,4.912,1.963,0.841,5.31,1.25,1.227,1.716,1.53,1.498,1.665,-0.756,0.81,16.6,1.63,50.94,0.061,83.022
53,0.358314,9.83,8.511,1.655,0.971,0.028,1.61,0.983,4.912,1.963,0.841,5.31,1.25,1.227,1.716,1.53,1.498,1.665,-0.756,0.81,16.6,1.63,50.94,0.061,83.022
54,0.490714,9.83,8.507,1.819,0.925,0.03,1.558,1.263,4.912,1.942,0.847,5.31,1.142,1.223,1.727,1.53,1.495,1.695,-0.648,1.104,20.828,1.63,50.94,0.061,81.338
55,0.471814,9.83,8.507,1.819,0.925,0.03,1.558,1.263,4.912,1.942,0.847,5.31,1.142,1.223,1.727,1.53,1.495,1.695,-0.648,1.104,20.828,1.63,50.94,0.061,81.338
56,0.151814,9.83,8.522,1.531,0.97,0.031,1.61,0.834,4.913,1.988,0.854,5.31,1.172,1.261,1.778,1.53,1.544,1.651,-0.264,0.785,16.578,1.63,50.94,0.061,67.535
57,0.221914,9.83,8.522,1.531,0.97,0.031,1.61,0.834,4.913,1.988,0.854,5.31,1.172,1.261,1.778,1.53,1.544,1.651,-0.264,0.785,16.578,1.63,50.94,0.061,67.535
58,0.514214,9.83,8.512,1.695,0.937,0.036,1.558,1.124,4.913,2.014,0.842,5.31,1.111,1.264,1.772,1.53,1.534,1.701,-0.081,1.096,20.736,1.63,50.94,0.062,70.395
59,0.505214,9.83,8.512,1.695,0.937,0.036,1.558,1.124,4.913,2.014,0.842,5.31,1.111,1.264,1.772,1.53,1.534,1.701,-0.081,1.096,20.736,1.63,50.94,0.062,70.395
60,0.172414,9.83,8.525,1.307,0.947,0.022,1.61,0.621,4.912,1.994,0.877,5.31,0.871,1.259,1.781,1.53,1.32,1.662,0.3,0.636,16.376,1.63,50.94,0.057,63.973
61,0.150614,9.83,8.525,1.307,0.947,0.022,1.61,0.621,4.912,1.994,0.877,5.31,0.871,1.259,1.781,1.53,1.32,1.662,0.3,0.636,16.376,1.63,50.94,0.057,63.973
62,0.467814,9.83,8.516,1.471,0.91,0.028,1.558,0.944,4.912,2.02,0.865,5.31,0.866,1.261,1.774,1.53,1.322,1.711,0.45,0.97,20.596,1.63,50.94,0.058,66.998
63,0.431114,9.83,8.516,1.471,0.91,0.028,1.558,0.944,4.912,2.02,0.865,5.31,0.866,1.261,1.774,1.53,1.322,1.711,0.45,0.97,20.596,1.63,50.94,0.058,66.998
64,0.252114,9.83,8.535,1.351,0.941,0.05,1.556,1.984,4.914,2.083,0.871,5.31,0.865,1.31,1.78,1.53,1.054,1.729,1.548,1.389,20.593,1.63,50.94,0.053,53.631
65,0.268814,9.83,8.535,1.351,0.941,0.05,1.556,1.984,4.914,2.083,0.871,5.31,0.865,1.31,1.78,1.53,1.054,1.729,1.548,1.389,20.593,1.63,50.94,0.053,53.631
66,0.145614,9.83,8.517,1.495,0.951,0.036,1.61,1.093,4.913,2.044,0.86,5.31,0.995,1.261,1.783,1.53,1.579,1.669,0.422,0.642,16.24,1.63,50.94,0.062,57.27
67,0.231914,9.83,8.517,1.495,0.951,0.036,1.61,1.093,4.913,2.044,0.86,5.31,0.995,1.261,1.783,1.53,1.579,1.669,0.422,0.642,16.24,1.63,50.94,0.062,57.27
68,0.488914,9.83,8.51,1.68,0.911,0.041,1.558,1.389,4.913,2.046,0.857,5.31,0.967,1.261,1.785,1.53,1.602,1.709,0.555,0.979,20.455,1.63,50.94,0.062,57.951
69,0.486814,9.83,8.51,1.68,0.911,0.041,1.558,1.389,4.913,2.046,0.857,5.31,0.967,1.261,1.785,1.53,1.602,1.709,0.555,0.979,20.455,1.63,50.94,0.062,57.951
70,0.048614,9.83,8.589,1.196,0.907,0.032,1.61,1.346,4.912,2.036,0.855,5.31,0.83,1.3,1.769,1.53,1.184,1.658,1.501,0.895,17.537,1.63,50.94,0.042,70.491
71,0.222714,9.83,8.589,1.196,0.907,0.032,1.61,1.346,4.912,2.036,0.855,5.31,0.83,1.3,1.769,1.53,1.184,1.658,1.501,0.895,17.537,1.63,50.94,0.042,70.491
72,0.228314,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
73,0.395614,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
74,0.222014,9.83,8.503,1.911,1.012,0.02,1.61,0.882,4.912,2.141,0.894,5.31,1.377,1.366,1.806,1.53,1.715,1.727,-0.756,0.765,16.163,1.63,50.94,0.065,52.18
75,0.193714,9.83,8.503,1.911,1.012,0.02,1.61,0.882,4.912,2.141,0.894,5.31,1.377,1.366,1.806,1.53,1.715,1.727,-0.756,0.765,16.163,1.63,50.94,0.065,52.18
76,0.463314,9.83,8.497,2.098,0.968,0.026,1.558,1.168,4.912,2.143,0.891,5.31,1.264,1.365,1.809,1.53,1.713,1.768,-0.648,1.067,20.344,1.63,50.94,0.065,52.822
77,0.440514,9.83,8.497,2.098,0.968,0.026,1.558,1.168,4.912,2.143,0.891,5.31,1.264,1.365,1.809,1.53,1.713,1.768,-0.648,1.067,20.344,1.63,50.94,0.065,52.822
78,0.316114,9.83,8.535,1.713,0.962,0.02,1.61,0.945,4.912,1.958,0.857,5.31,1.3,1.282,1.798,1.53,1.502,1.665,-0.756,0.797,16.747,1.63,50.94,0.056,71.5
79,0.188814,9.83,8.535,1.713,0.962,0.02,1.61,0.945,4.912,1.958,0.857,5.31,1.3,1.282,1.798,1.53,1.502,1.665,-0.756,0.797,16.747,1.63,50.94,0.056,71.5
80,0.683314,9.83,8.529,1.877,0.923,0.025,1.562,1.24,4.912,1.96,0.854,5.31,1.195,1.281,1.8,1.53,1.493,1.705,-0.648,1.099,21.004,1.63,50.94,0.056,72.228
81,0.480014,9.83,8.529,1.877,0.923,0.025,1.562,1.24,4.912,1.96,0.854,5.31,1.195,1.281,1.8,1.53,1.493,1.705,-0.648,1.099,21.004,1.63,50.94,0.056,72.228
82,0.235414,9.83,8.589,1.196,0.907,0.032,1.61,1.346,4.912,2.036,0.855,5.31,0.83,1.3,1.769,1.53,1.184,1.658,1.501,0.895,17.537,1.63,50.94,0.042,70.491
83,0.461114,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
84,0.389914,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
85,0.083414,9.83,8.487,1.426,1.0,0.026,1.612,0.843,4.912,2.006,0.874,5.31,1.116,1.295,1.805,1.53,1.224,1.705,-0.492,0.734,15.787,1.63,50.94,0.074,57.41
86,0.186714,9.83,8.487,1.426,1.0,0.026,1.612,0.843,4.912,2.006,0.874,5.31,1.116,1.295,1.805,1.53,1.224,1.705,-0.492,0.734,15.787,1.63,50.94,0.074,57.41
87,0.493514,9.83,8.48,1.602,0.957,0.031,1.561,1.114,4.912,2.008,0.871,5.31,1.064,1.294,1.808,1.53,1.262,1.746,-0.35,1.035,19.979,1.63,50.94,0.074,58.47
88,0.448214,9.83,8.48,1.602,0.957,0.031,1.561,1.114,4.912,2.008,0.871,5.31,1.064,1.294,1.808,1.53,1.262,1.746,-0.35,1.035,19.979,1.63,50.94,0.074,58.47
89,0.561514,9.83,8.48,1.195,1.017,0.078,1.611,1.053,4.912,2.191,0.891,5.31,1.081,1.304,1.809,1.53,1.296,1.712,0.702,0.705,15.829,1.63,50.94,0.077,39.895
90,0.015814,9.83,8.48,1.195,1.017,0.078,1.611,1.053,4.912,2.191,0.891,5.31,1.081,1.304,1.809,1.53,1.296,1.712,0.702,0.705,15.829,1.63,50.94,0.077,39.895
91,0.434214,9.83,8.473,1.366,0.971,0.086,1.56,1.392,4.912,2.192,0.887,5.31,1.057,1.303,1.812,1.53,1.275,1.752,0.805,1.075,19.97,1.63,50.94,0.077,40.762
92,0.312414,9.83,8.473,1.366,0.971,0.086,1.56,1.392,4.912,2.192,0.887,5.31,1.057,1.303,1.812,1.53,1.275,1.752,0.805,1.075,19.97,1.63,50.94,0.077,40.762
93,0.184814,9.83,8.496,1.353,1.021,0.045,1.612,0.773,4.913,2.048,0.834,5.31,1.029,1.316,1.747,1.53,1.223,1.697,0.175,0.789,15.961,1.63,50.94,0.069,65.325
94,0.143614,9.83,8.496,1.353,1.021,0.045,1.612,0.773,4.913,2.048,0.834,5.31,1.029,1.316,1.747,1.53,1.223,1.697,0.175,0.789,15.961,1.63,50.94,0.069,65.325
95,0.460214,9.83,8.489,1.514,0.98,0.05,1.561,1.031,4.913,2.051,0.831,5.31,1.002,1.316,1.75,1.53,1.224,1.739,0.343,1.098,20.174,1.63,50.94,0.069,66.951
96,0.476014,9.83,8.5,1.617,0.922,0.047,1.561,1.132,4.912,2.034,0.86,5.31,1.0,1.29,1.775,1.53,1.351,1.727,0.521,0.977,20.392,1.63,50.94,0.062,57.163
97,0.456814,9.83,8.5,1.617,0.922,0.047,1.561,1.132,4.912,2.034,0.86,5.31,1.0,1.29,1.775,1.53,1.351,1.727,0.521,0.977,20.392,1.63,50.94,0.062,57.163
98,0.259714,9.83,8.542,1.441,0.952,0.029,1.612,0.892,4.912,1.983,0.853,5.31,1.116,1.287,1.786,1.53,1.275,1.669,-0.492,0.761,16.884,1.63,50.94,0.054,70.685
99,0.301614,9.83,8.542,1.441,0.952,0.029,1.612,0.892,4.912,1.983,0.853,5.31,1.116,1.287,1.786,1.53,1.275,1.669,-0.492,0.761,16.884,1.63,50.94,0.054,70.685
100,0.470614,9.83,8.535,1.616,0.915,0.034,1.561,1.176,4.912,1.984,0.85,5.31,1.065,1.286,1.789,1.53,1.314,1.708,-0.35,1.065,21.148,1.63,50.94,0.054,71.674
101,0.443814,9.83,8.535,1.616,0.915,0.034,1.561,1.176,4.912,1.984,0.85,5.31,1.065,1.286,1.789,1.53,1.314,1.708,-0.35,1.065,21.148,1.63,50.94,0.054,71.674
102,0.207014,9.83,8.534,1.409,0.949,0.048,1.612,0.745,4.912,2.084,0.862,5.31,1.073,1.311,1.789,1.53,1.305,1.683,0.702,0.659,16.467,1.63,50.94,0.055,51.716
103,0.236114,9.83,8.534,1.409,0.949,0.048,1.612,0.745,4.912,2.084,0.862,5.31,1.073,1.311,1.789,1.53,1.305,1.683,0.702,0.659,16.467,1.63,50.94,0.055,51.716
104,0.389614,9.83,8.528,1.601,0.909,0.053,1.561,1.09,4.912,2.086,0.859,5.31,1.047,1.31,1.791,1.53,1.37,1.723,0.805,1.014,20.695,1.63,50.94,0.056,52.81
105,0.412214,9.83,8.528,1.601,0.909,0.053,1.561,1.09,4.912,2.086,0.859,5.31,1.047,1.31,1.791,1.53,1.37,1.723,0.805,1.014,20.695,1.63,50.94,0.056,52.81
106,0.343314,9.83,8.52,1.393,0.953,0.031,1.612,0.913,4.912,1.957,0.846,5.31,1.068,1.231,1.725,1.53,1.221,1.66,-0.492,0.766,16.709,1.63,50.94,0.058,77.18
107,0.289014,9.83,8.52,1.393,0.953,0.031,1.612,0.913,4.912,1.957,0.846,5.31,1.068,1.231,1.725,1.53,1.221,1.66,-0.492,0.766,16.709,1.63,50.94,0.058,77.18
108,0.479014,9.83,8.513,1.562,0.915,0.036,1.561,1.198,4.912,1.959,0.843,5.31,1.018,1.23,1.727,1.53,1.255,1.699,-0.35,1.069,20.975,1.63,50.94,0.058,78.128
109,0.480814,9.83,8.513,1.562,0.915,0.036,1.561,1.198,4.912,1.959,0.843,5.31,1.018,1.23,1.727,1.53,1.255,1.699,-0.35,1.069,20.975,1.63,50.94,0.058,78.128
110,0.291214,9.83,8.529,1.349,0.962,0.037,1.612,0.763,4.913,2.006,0.85,5.31,1.053,1.268,1.774,1.53,1.312,1.656,0.175,0.741,16.664,1.63,50.94,0.059,63.876
111,0.482614,9.83,8.522,1.521,0.923,0.041,1.561,1.016,4.913,2.008,0.847,5.31,1.019,1.267,1.777,1.53,1.348,1.696,0.343,1.047,20.895,1.63,50.94,0.059,64.894
112,0.391214,9.83,8.522,1.521,0.923,0.041,1.561,1.016,4.913,2.008,0.847,5.31,1.019,1.267,1.777,1.53,1.348,1.696,0.343,1.047,20.895,1.63,50.94,0.059,64.894
113,0.140714,9.83,8.532,1.22,0.942,0.029,1.612,0.735,4.912,2.011,0.872,5.31,0.838,1.265,1.778,1.53,1.201,1.667,0.612,0.653,16.46,1.63,50.94,0.055,59.862
114,0.460614,9.83,8.525,1.365,0.903,0.034,1.561,1.073,4.912,2.013,0.87,5.31,0.837,1.264,1.78,1.53,1.243,1.707,0.723,1.004,20.689,1.63,50.94,0.055,60.872
