MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
170,0,1.559,0.162,29.687,1.78,1.383,-0.203,4.39,6.61,1.424,1.042,0.8331,969.256,0.871,7.121,3.665,6.715,1.552,1.108,0.031,0.769,1.008,0.068,0.809,15.043,5.45,0.556,1.88
171,0,1.579,0.271,30.226,1.818,1.383,-0.219,4.39,6.61,1.386,1.02,0.8264,976.77,1.353,7.08,4.024,4.754,1.488,1.094,0.032,0.63,1.006,0.082,0.824,14.004,5.45,0.539,1.88
172,0,1.573,0.213,29.159,1.881,1.43,-0.187,4.39,6.61,1.404,1.026,0.8859,811.14,1.342,7.049,3.585,4.59,1.532,1.114,0.034,0.654,1.047,0.096,0.807,11.379,5.45,0.542,1.88
173,0,1.652,0.14,24.58,1.959,1.519,-0.243,4.39,6.61,1.418,1.127,0.9831,758.15,0.871,6.983,3.725,4.662,1.488,1.187,0.036,0.818,1.063,0.092,0.834,13.136,5.45,0.553,1.88
174,0,1.58,0.127,26.309,1.81,1.409,-0.175,4.39,6.61,1.437,1.071,1.0513,482.482,0.518,6.847,3.157,4.442,1.529,1.131,0.045,0.944,1.103,0.055,0.821,10.282,5.45,0.571,1.88
175,0,1.539,0.212,27.221,1.834,1.355,-0.104,4.39,6.61,1.4,1.037,1.0692,555.832,0.919,6.891,3.448,5.543,1.529,1.138,0.041,0.741,1.119,0.08,0.785,10.893,5.45,0.565,1.88
176,0,1.512,0.66,28.161,1.708,1.353,-0.208,4.44,6.59,1.425,1.039,0.767,1001.921,0.19,7.007,3.241,6.709,1.552,1.068,0.029,1.041,1.012,0.06,0.805,14.06,5.433,0.559,1.91
177,0,1.513,0.663,29.543,1.696,1.308,-0.203,4.44,6.59,1.41,0.997,0.7443,917.927,0.19,6.902,3.169,4.693,1.468,1.026,0.031,0.995,1.012,0.067,0.796,14.026,5.433,0.568,1.91
178,0,1.541,0.603,28.419,1.755,1.343,-0.221,4.44,6.59,1.384,0.997,0.7807,991.256,0.989,6.947,3.597,4.699,1.468,1.046,0.03,0.729,1.008,0.075,0.811,13.221,5.433,0.548,1.91
179,0,1.605,0.607,24.125,1.786,1.34,-0.238,4.44,6.59,1.409,1.071,1.0169,547.624,0.532,6.762,3.35,5.725,1.489,1.09,0.039,0.909,1.052,0.089,0.806,12.13,5.433,0.56,1.91
180,0,1.555,0.686,25.038,1.805,1.291,-0.159,4.44,6.59,1.377,1.035,1.036,626.444,0.928,6.81,3.634,5.931,1.496,1.093,0.036,0.847,1.069,0.108,0.773,12.809,5.433,0.555,1.91
181,0,1.588,0.666,26.412,1.832,1.433,-0.247,4.44,6.59,1.382,1.048,0.811,1004.465,1.211,7.002,3.622,4.712,1.472,1.123,0.029,0.939,1.009,0.137,0.807,13.184,5.433,0.537,1.91
182,0,1.524,1.036,31.233,1.781,1.437,-0.221,4.44,6.59,1.339,1.022,0.6287,2051.4,1.843,7.242,4.187,4.715,1.472,1.106,0.021,0.76,0.971,0.087,0.804,15.313,5.433,0.518,1.91
183,0,1.609,0.603,23.449,1.897,1.459,-0.25,4.44,6.59,1.409,1.125,0.9259,813.682,0.532,6.883,3.525,4.717,1.472,1.139,0.032,0.964,1.06,0.105,0.827,12.293,5.433,0.551,1.91
184,0,1.524,1.036,31.233,1.781,1.437,-0.221,4.44,6.59,1.338,1.022,0.6134,2120.229,1.843,7.242,4.162,4.715,1.472,1.106,0.021,0.76,0.971,0.087,0.804,15.313,5.433,0.518,1.91
185,0,1.601,0.623,26.188,1.821,1.396,-0.259,4.44,6.59,1.402,1.014,0.8292,824.355,1.052,6.918,3.33,4.683,1.468,1.077,0.032,0.821,1.007,0.104,0.8,12.779,5.433,0.544,1.91
186,0,1.715,1.451,45.213,2.076,1.762,-0.151,3.49,6.53,1.417,0.898,0.5323,2334.811,1.285,9.586,5.22,4.263,1.58,1.334,0.052,0.887,0.826,0.026,0.869,25.138,4.723,0.532,1.9
189,0,1.555,0.576,23.179,1.72,1.285,-0.243,3.49,6.53,1.399,1.105,1.0226,543.996,0.565,6.675,3.153,5.725,1.489,1.04,0.035,0.898,1.105,0.099,0.798,11.385,5.782,0.559,1.9
190,0,1.662,0.729,21.106,1.965,1.12,-0.303,3.49,6.53,1.36,1.148,1.0559,524.976,1.228,6.628,3.451,4.742,1.457,1.061,0.037,0.954,1.13,0.22,0.804,10.232,5.782,0.534,1.9
192,0,1.541,0.641,25.465,1.759,1.356,-0.256,3.49,6.53,1.374,1.086,0.8149,998.777,1.228,6.934,3.418,4.764,1.458,1.079,0.026,0.932,1.064,0.154,0.801,12.427,5.782,0.535,1.9
194,0,1.552,0.573,22.502,1.82,1.386,-0.255,3.49,6.53,1.4,1.163,0.9303,809.043,0.565,6.807,3.324,4.768,1.458,1.082,0.029,0.952,1.115,0.118,0.82,11.498,5.782,0.549,1.9
195,0,1.576,0.493,22.886,1.813,1.328,-0.162,1.35,6.59,1.391,1.084,1.0539,567.215,0.878,6.818,3.017,5.916,1.496,1.115,0.032,0.828,1.142,0.092,0.778,12.883,5.917,0.558,1.65
196,0,1.534,0.433,26.409,1.734,1.374,-0.207,1.35,6.59,1.429,1.084,0.7921,964.794,0.456,7.042,2.842,6.709,1.552,1.087,0.024,0.95,1.081,0.058,0.808,14.366,5.917,0.557,1.65
197,0,1.605,0.431,24.266,1.845,1.489,-0.246,1.35,6.59,1.394,1.092,0.8186,932.277,1.173,7.008,3.004,4.668,1.44,1.143,0.025,0.954,1.085,0.116,0.813,13.288,5.917,0.538,1.65
198,0,1.614,0.441,24.437,1.845,1.42,-0.253,1.35,6.59,1.405,1.062,0.8582,791.122,1.173,6.956,2.932,4.817,1.44,1.094,0.027,0.75,1.079,0.099,0.803,13.122,5.917,0.541,1.65
199,0,1.543,0.817,29.569,1.787,1.473,-0.224,1.35,6.59,1.349,1.065,0.6259,1929.628,1.823,7.26,3.544,4.671,1.44,1.123,0.018,0.718,1.053,0.074,0.814,15.115,5.917,0.517,1.65
200,0,1.476,0.326,28.032,1.701,1.363,-0.152,1.35,6.59,1.424,1.087,0.811,938.55,0.308,7.048,2.716,7.029,1.562,1.086,0.024,1.043,1.119,0.046,0.81,12.047,5.917,0.558,1.65
1,1,1.716,0.99,41.317,2.063,1.557,-0.1,4.85,10.63,1.517,0.934,0.8007,788.323,-0.872,9.556,4.444,4.234,1.634,1.346,0.089,1.214,0.994,0.028,0.862,18.931,4.724,0.586,1.54
2,1,1.691,0.971,44.801,2.003,1.615,-0.116,4.85,10.63,1.528,0.957,0.6301,1265.089,-1.169,9.572,4.274,4.173,1.633,1.319,0.069,1.348,0.924,0.015,0.876,19.384,4.724,0.578,1.54
3,1,1.717,1.178,40.081,2.075,1.681,-0.157,4.85,10.63,1.509,0.918,0.6926,1027.625,-0.297,9.56,4.524,4.303,1.58,1.292,0.077,1.038,0.869,0.028,0.879,24.209,4.724,0.563,1.54
4,1,1.715,1.451,45.213,2.076,1.762,-0.151,4.85,10.63,1.417,0.898,0.5323,2334.811,1.285,9.586,5.22,4.263,1.58,1.334,0.052,0.887,0.826,0.026,0.869,25.138,4.723,0.532,1.54
5,1,1.699,0.786,43.05,2.118,1.775,-0.123,4.85,10.63,1.48,0.951,0.6701,1264.44,-0.068,9.572,4.682,4.249,1.635,1.343,0.068,1.132,0.905,0.032,0.883,19.321,4.724,0.555,1.54
6,1,1.688,0.782,45.733,2.045,1.61,-0.122,4.85,10.63,1.476,0.922,0.6538,1299.94,-0.22,9.571,4.896,4.282,1.635,1.301,0.068,0.913,0.899,0.018,0.893,19.354,4.723,0.556,1.54
7,1,1.719,1.132,43.242,2.163,1.802,-0.124,4.85,10.63,1.419,0.977,0.658,1633.396,1.358,9.575,5.689,4.235,1.633,1.366,0.063,0.919,0.927,0.037,0.882,19.299,4.725,0.53,1.54
8,1,1.693,1.046,47.871,2.113,1.766,-0.114,4.85,10.63,1.408,0.914,0.5419,2450.578,1.358,9.592,5.304,4.252,1.635,1.353,0.05,0.888,0.857,0.028,0.862,20.193,4.723,0.531,1.54
9,1,1.75,0.892,40.087,2.192,1.78,-0.133,4.85,10.63,1.522,1.03,0.7633,1026.583,-1.003,9.563,4.561,4.251,1.635,1.409,0.077,1.257,0.96,0.015,0.911,19.403,4.723,0.572,1.54
10,1,1.716,0.956,40.371,2.012,1.604,-0.129,4.85,10.63,1.566,0.984,0.7841,686.026,-1.169,9.553,4.12,4.184,1.633,1.319,0.096,1.347,0.969,0.008,0.907,19.105,4.724,0.594,1.54
11,1,1.693,0.801,42.657,2.101,1.796,-0.124,4.85,10.63,1.493,0.946,0.6469,1233.126,-0.447,9.57,4.436,4.168,1.633,1.335,0.071,1.213,0.911,0.026,0.888,19.322,4.724,0.56,1.54
12,1,1.673,0.952,44.203,2.021,1.615,-0.11,4.85,10.63,1.53,0.93,0.66,1079.509,-0.872,9.568,4.283,4.228,1.633,1.293,0.075,1.226,0.931,0.02,0.876,19.481,4.724,0.572,1.54
13,1,1.683,0.793,45.341,2.027,1.622,-0.123,4.85,10.63,1.489,0.916,0.6307,1268.277,-0.553,9.569,4.65,4.201,1.633,1.293,0.071,0.949,0.904,0.012,0.898,19.362,4.723,0.561,1.54
14,1,1.727,1.18,42.312,2.055,1.614,-0.155,4.85,10.63,1.486,0.896,0.6628,1210.644,-0.42,9.562,4.814,4.306,1.58,1.297,0.072,0.939,0.868,0.017,0.886,24.269,4.723,0.566,1.54
15,1,1.736,1.546,40.594,2.113,1.796,-0.161,4.85,10.63,1.43,0.959,0.6429,1540.12,1.285,9.569,5.602,4.245,1.578,1.339,0.065,0.913,0.892,0.034,0.893,24.424,4.725,0.53,1.54
16,1,1.725,1.343,42.511,1.998,1.609,-0.15,4.85,10.63,1.518,0.953,0.6693,1184.821,-1.099,9.567,4.51,4.327,1.58,1.318,0.069,1.256,0.886,0.016,0.873,24.445,4.724,0.577,1.54
17,1,1.721,0.997,34.77,2.014,1.637,-0.178,5.31,9.83,1.462,0.973,0.7478,890.526,0.175,8.493,4.32,4.321,1.558,1.283,0.065,1.072,0.927,0.041,0.865,20.318,4.912,0.564,1.63
18,1,1.665,0.797,39.963,1.967,1.579,-0.126,5.31,9.83,1.499,0.983,0.6846,1144.822,-0.756,8.535,4.074,4.225,1.61,1.282,0.056,1.3,0.962,0.023,0.857,16.747,4.912,0.573,1.63
19,1,1.695,1.104,39.052,1.942,1.522,-0.162,5.31,9.83,1.486,0.941,0.6822,1019.713,-0.648,8.507,4.164,4.366,1.558,1.223,0.061,1.142,0.925,0.03,0.847,20.828,4.912,0.582,1.63
20,1,1.701,1.096,36.825,2.014,1.571,-0.156,5.31,9.83,1.494,0.94,0.7531,928.554,-0.081,8.512,4.248,4.427,1.558,1.264,0.062,1.111,0.937,0.036,0.842,20.736,4.913,0.573,1.63
21,1,1.711,0.97,37.928,2.02,1.577,-0.171,5.31,9.83,1.456,0.927,0.7155,1101.814,0.45,8.516,4.611,4.369,1.558,1.261,0.058,0.866,0.91,0.028,0.865,20.596,4.912,0.561,1.63
22,1,1.729,1.389,36.204,2.083,1.754,-0.181,5.31,9.83,1.404,0.995,0.693,1407.517,1.548,8.535,5.391,4.301,1.556,1.31,0.053,0.865,0.941,0.05,0.871,20.593,4.914,0.526,1.63
23,1,1.729,1.389,36.204,2.083,1.754,-0.181,5.31,9.83,1.404,0.995,0.693,1407.517,1.548,8.535,5.391,4.301,1.556,1.31,0.053,0.865,0.941,0.05,0.871,20.593,4.914,0.526,1.63
24,1,1.669,0.642,37.99,2.044,1.645,-0.137,5.31,9.83,1.481,0.951,0.735,952.426,0.422,8.517,4.158,4.255,1.61,1.261,0.062,0.995,0.951,0.036,0.86,16.24,4.913,0.559,1.63
25,1,1.709,0.979,35.697,2.046,1.643,-0.177,5.31,9.83,1.478,0.947,0.7531,926.779,0.555,8.51,4.325,4.366,1.558,1.261,0.062,0.967,0.911,0.041,0.857,20.455,4.913,0.558,1.63
26,1,1.697,1.28,40.829,2.038,1.719,-0.168,5.31,9.83,1.397,0.932,0.5679,2162.488,1.548,8.583,5.01,4.319,1.558,1.3,0.042,0.835,0.87,0.036,0.853,21.803,4.912,0.528,1.63
27,1,1.727,0.765,34.856,2.141,1.763,-0.148,5.31,9.83,1.505,1.058,0.7974,897.415,-0.756,8.503,4.119,4.222,1.61,1.366,0.065,1.377,1.012,0.02,0.894,16.163,4.912,0.572,1.63
28,1,1.665,0.797,40.42,1.958,1.574,-0.126,5.31,9.83,1.492,0.983,0.7097,1100.98,-0.756,8.535,4.14,4.262,1.61,1.282,0.056,1.3,0.962,0.02,0.857,16.747,4.912,0.573,1.63
29,1,1.665,0.797,40.42,1.958,1.574,-0.126,5.31,9.83,1.492,0.983,0.7097,1100.98,-0.756,8.535,4.14,4.262,1.61,1.282,0.056,1.3,0.962,0.02,0.857,16.747,4.912,0.573,1.63
30,1,1.705,1.099,38.128,1.96,1.572,-0.166,5.31,9.83,1.489,0.979,0.7268,1072.248,-0.648,8.529,4.307,4.474,1.562,1.281,0.056,1.195,0.923,0.025,0.854,21.004,4.912,0.572,1.63
31,1,1.658,0.895,43.122,2.036,1.721,-0.129,5.31,9.83,1.398,0.933,0.558,2205.581,1.501,8.589,4.844,4.222,1.61,1.3,0.042,0.83,0.907,0.032,0.855,17.537,4.912,0.529,1.63
32,1,1.697,1.28,40.829,2.038,1.719,-0.168,5.31,9.83,1.397,0.932,0.5679,2162.488,1.548,8.583,5.01,4.319,1.558,1.3,0.042,0.835,0.87,0.036,0.853,21.803,4.912,0.528,1.63
33,1,1.697,1.28,40.829,2.038,1.719,-0.168,5.31,9.83,1.397,0.932,0.5679,2162.488,1.548,8.583,5.01,4.319,1.558,1.3,0.042,0.835,0.87,0.036,0.853,21.803,4.912,0.528,1.63
34,1,1.746,1.035,33.634,2.008,1.555,-0.179,5.31,9.83,1.503,1.009,0.9181,619.554,-0.35,8.48,4.335,4.437,1.561,1.294,0.074,1.064,0.957,0.031,0.871,19.979,4.912,0.577,1.63
35,1,1.669,0.761,40.356,1.983,1.566,-0.125,5.31,9.83,1.486,0.983,0.7064,1178.186,-0.492,8.542,4.316,4.312,1.612,1.287,0.054,1.116,0.952,0.029,0.853,16.884,4.912,0.568,1.63
36,1,1.656,0.741,39.758,2.006,1.566,-0.117,5.31,9.83,1.485,0.959,0.7401,1003.572,0.175,8.529,4.325,4.376,1.612,1.268,0.059,1.053,0.962,0.037,0.85,16.664,4.913,0.561,1.63
37,1,1.744,1.452,36.118,2.132,1.754,-0.178,5.31,9.83,1.392,1.011,0.7222,1459.778,1.648,8.537,5.641,4.403,1.558,1.332,0.051,0.876,0.934,0.059,0.859,20.678,4.914,0.524,1.63
38,1,1.675,0.665,38.383,2.062,1.628,-0.136,5.31,9.83,1.468,0.957,0.7564,984.05,0.702,8.523,4.399,4.342,1.612,1.269,0.06,0.932,0.946,0.043,0.855,16.316,4.913,0.554,1.63
39,1,1.715,1.023,36.092,2.064,1.626,-0.176,5.31,9.83,1.466,0.953,0.7744,958.476,0.805,8.517,4.566,4.465,1.561,1.268,0.06,0.919,0.907,0.048,0.852,20.541,4.913,0.553,1.63
40,1,1.708,1.337,40.742,2.073,1.718,-0.166,5.31,9.83,1.387,0.946,0.5874,2225.122,1.648,8.585,5.257,4.42,1.561,1.315,0.041,0.84,0.867,0.043,0.844,22.074,4.912,0.527,1.63
41,1,1.708,1.337,40.742,2.073,1.718,-0.166,5.31,9.83,1.387,0.946,0.5741,2293.012,1.648,8.585,5.226,4.42,1.561,1.315,0.041,0.84,0.867,0.043,0.844,22.074,4.912,0.527,1.63
42,1,1.699,0.778,35.533,1.983,1.572,-0.141,5.31,9.83,1.525,1.01,0.8653,608.573,-0.756,8.48,3.927,4.237,1.61,1.286,0.078,1.303,1.009,0.018,0.881,15.769,4.912,0.587,1.63
43,1,1.74,1.077,33.24,1.985,1.57,-0.181,5.31,9.83,1.522,1.005,0.8916,589.415,-0.648,8.474,4.094,4.337,1.558,1.285,0.078,1.192,0.965,0.024,0.877,19.949,4.912,0.586,1.63
44,1,1.74,1.077,33.24,1.985,1.57,-0.181,5.31,9.83,1.522,1.005,0.8916,589.415,-0.648,8.474,4.094,4.337,1.558,1.285,0.078,1.192,0.965,0.024,0.877,19.949,4.912,0.586,1.63
45,1,1.703,0.664,33.285,2.167,1.408,-0.153,5.31,9.83,1.484,1.035,0.8912,589.87,0.422,8.473,4.225,4.2,1.609,1.293,0.081,1.159,1.018,0.071,0.899,15.912,4.912,0.561,1.63
46,1,1.734,1.131,34.18,2.031,1.52,-0.145,5.31,9.83,1.477,0.961,0.9084,678.335,-0.081,8.482,4.411,4.564,1.558,1.308,0.073,1.083,0.99,0.044,0.835,20.094,4.913,0.578,1.63
47,1,1.705,1.099,37.67,1.968,1.577,-0.166,5.31,9.83,1.496,0.979,0.7005,1116.177,-0.648,8.529,4.241,4.323,1.558,1.281,0.056,1.195,0.923,0.028,0.854,21.004,4.912,0.572,1.63
48,1,1.678,0.641,37.819,2.068,1.752,-0.137,5.31,9.83,1.464,0.976,0.7044,1112.662,0.422,8.528,4.236,4.219,1.61,1.305,0.058,1.161,0.954,0.041,0.867,16.384,4.912,0.554,1.63
49,1,1.665,0.81,41.086,1.963,1.515,-0.12,5.31,9.83,1.49,0.936,0.6838,1024.606,-0.756,8.511,3.995,4.255,1.61,1.227,0.061,1.25,0.971,0.028,0.841,16.6,4.912,0.59,1.63
50,1,1.695,1.104,39.052,1.942,1.522,-0.162,5.31,9.83,1.486,0.941,0.6822,1019.713,-0.648,8.507,4.164,4.366,1.558,1.223,0.061,1.142,0.925,0.03,0.847,20.828,4.912,0.582,1.63
51,1,1.662,0.636,40.502,1.994,1.587,-0.135,5.31,9.83,1.46,0.946,0.6828,1149.803,0.3,8.525,4.447,4.258,1.61,1.259,0.057,0.871,0.947,0.022,0.877,16.376,4.912,0.555,1.63
52,1,1.697,1.28,40.829,2.038,1.719,-0.168,5.31,9.83,1.397,0.932,0.5679,2162.488,1.548,8.583,5.01,4.319,1.558,1.3,0.042,0.835,0.87,0.036,0.853,21.803,4.912,0.528,1.63
53,1,1.705,0.734,35.925,2.006,1.558,-0.139,5.31,9.83,1.506,1.013,0.8919,638.796,-0.492,8.487,4.169,4.324,1.612,1.295,0.074,1.116,1.0,0.026,0.874,15.787,4.912,0.579,1.63
54,1,1.712,0.705,33.677,2.191,1.387,-0.151,5.31,9.83,1.468,1.048,0.9171,619.875,0.702,8.48,4.466,4.287,1.611,1.304,0.077,1.081,1.017,0.078,0.891,15.829,4.912,0.554,1.63
55,1,1.712,0.705,33.677,2.191,1.387,-0.151,5.31,9.83,1.468,1.048,0.9171,619.875,0.702,8.48,4.466,4.287,1.611,1.304,0.077,1.081,1.017,0.078,0.891,15.829,4.912,0.554,1.63
56,1,1.697,0.789,36.861,2.048,1.511,-0.103,5.31,9.83,1.465,0.966,0.9106,730.287,0.175,8.496,4.486,4.39,1.612,1.316,0.069,1.029,1.021,0.045,0.834,15.961,4.913,0.572,1.63
57,1,1.727,0.977,35.164,2.034,1.62,-0.176,5.31,9.83,1.45,0.978,0.7716,922.512,0.521,8.5,4.561,4.422,1.561,1.29,0.062,1.0,0.922,0.047,0.86,20.392,4.912,0.558,1.63
58,1,1.683,0.659,38.212,2.084,1.73,-0.136,5.31,9.83,1.453,0.982,0.7261,1145.642,0.702,8.534,4.477,4.307,1.612,1.311,0.055,1.073,0.949,0.048,0.862,16.467,4.912,0.55,1.63
59,1,1.707,1.004,38.604,2.013,1.571,-0.172,5.31,9.83,1.446,0.949,0.7198,1155.191,0.723,8.525,4.855,4.47,1.561,1.264,0.055,0.837,0.903,0.034,0.87,20.689,4.912,0.55,1.63
60,1,1.744,1.452,36.118,2.132,1.754,-0.178,5.31,9.83,1.392,1.011,0.7222,1459.778,1.648,8.537,5.641,4.403,1.558,1.332,0.051,0.876,0.934,0.059,0.859,20.678,4.914,0.524,1.63
61,1,1.669,0.947,43.033,2.071,1.72,-0.127,5.31,9.83,1.389,0.947,0.5776,2267.947,1.605,8.591,5.09,4.31,1.612,1.316,0.04,0.834,0.902,0.038,0.846,17.795,4.912,0.528,1.63
62,1,1.73,0.724,35.249,2.158,1.739,-0.146,5.31,9.83,1.49,1.061,0.8274,929.375,-0.492,8.51,4.36,4.309,1.612,1.371,0.062,1.182,1.003,0.028,0.888,16.184,4.912,0.566,1.63
63,1,1.772,1.028,32.958,2.16,1.736,-0.187,5.31,9.83,1.487,1.057,0.8476,905.628,-0.35,8.503,4.527,4.42,1.561,1.37,0.063,1.127,0.961,0.034,0.885,20.377,4.912,0.565,1.63
64,1,1.708,1.337,40.742,2.073,1.718,-0.166,5.31,9.83,1.387,0.946,0.5741,2293.012,1.648,8.585,5.226,4.42,1.561,1.315,0.041,0.84,0.867,0.043,0.844,22.074,4.912,0.527,1.63
67,1,1.724,0.923,31.139,2.014,1.504,-0.149,4.1,8.65,1.464,0.971,0.9654,630.04,0.444,8.131,4.212,4.936,1.538,1.291,0.061,1.004,1.002,0.05,0.826,18.823,4.98,0.573,1.66
71,1,1.64,0.637,36.022,1.971,1.562,-0.122,4.1,8.65,1.487,0.965,0.7592,908.513,0.294,8.185,3.885,4.355,1.588,1.246,0.052,1.111,0.982,0.035,0.847,15.629,4.98,0.563,1.66
73,1,1.681,0.91,35.141,2.066,1.735,-0.147,4.1,8.65,1.398,1.008,0.7131,1357.851,1.635,8.211,5.014,4.256,1.586,1.297,0.044,0.813,1.0,0.052,0.867,15.385,4.982,0.523,1.66
76,1,1.646,0.806,39.779,2.016,1.7,-0.135,4.1,8.65,1.391,0.945,0.5823,2097.446,1.635,8.277,4.634,4.273,1.588,1.284,0.035,0.781,0.922,0.036,0.85,16.702,4.98,0.526,1.66
88,1,1.644,0.598,36.415,1.989,1.548,-0.121,4.1,8.65,1.474,0.968,0.7793,941.458,0.607,8.194,4.121,4.447,1.591,1.252,0.049,0.985,0.975,0.042,0.843,15.743,4.98,0.557,1.66
95,1,1.681,0.91,35.141,2.066,1.735,-0.147,4.1,8.65,1.398,1.008,0.7131,1357.851,1.635,8.211,5.014,4.256,1.586,1.297,0.044,0.813,1.0,0.052,0.867,15.385,4.982,0.523,1.66
187,1,1.725,1.343,42.511,1.998,1.609,-0.15,3.49,6.53,1.518,0.953,0.6693,1184.821,-1.099,9.567,4.51,4.327,1.58,1.318,0.069,1.256,0.886,0.016,0.873,24.445,4.724,0.577,1.9
188,1,1.687,1.279,49.012,2.094,1.727,-0.133,3.49,6.53,1.455,0.891,0.5159,2626.492,0.187,9.604,4.788,4.267,1.58,1.326,0.044,1.027,0.817,0.034,0.836,27.131,4.724,0.55,1.9
191,1,1.551,0.592,24.709,1.745,1.296,-0.255,3.49,6.53,1.364,1.081,0.8486,822.143,1.052,6.787,3.342,4.773,1.458,1.049,0.029,0.859,1.074,0.137,0.796,12.032,5.782,0.543,1.9
193,1,1.455,0.606,28.991,1.643,1.239,-0.2,3.49,6.53,1.392,1.031,0.7674,947.505,0.565,6.861,3.185,4.89,1.458,0.977,0.027,0.857,1.055,0.086,0.787,13.645,5.782,0.561,1.9
